date,copper,coal,oil
2006-04-01,6404.44444444444,56.4702380952381,70.34
2006-05-01,8059.19047619048,56.7219387755102,70.51
2006-06-01,7222.77272727273,54.9107142857143,69.2327272727273
2006-07-01,7726.7380952381,56.9540816326531,74.0409523809524
2006-08-01,7690.25,55.6339285714286,73.5004347826087
2006-09-01,7622.64285714286,51.8877551020408,62.5271428571429
2006-10-01,7497.40909090909,47.6907467532468,58.7581818181818
2006-11-01,7029.29545454545,48.2142857142857,59.2227272727273
2006-12-01,6680.97368421053,54.5103383458647,62.2604761904762
2007-01-01,5689.34090909091,55.762987012987,54.5030434782609
2007-02-01,5718.15,56.00625,57.9695
2007-03-01,6465.29545454545,56.924512987013,62.3572727272727
2007-04-01,7753.34210526316,58.0516917293233,67.6904761904762
2007-05-01,7677.95238095238,58.4566326530612,67.7178260869565
2007-06-01,7514.2380952381,63.1505102040817,70.6190476190476
2007-07-01,7980.93181818182,72.7938311688312,76.1331818181818
2007-08-01,7500.20454545455,74.8344155844156,71.3130434782609
2007-09-01,7671.35,73.5535714285715,76.772
2007-10-01,8020.58695652174,79.5093167701863,82.5073913043478
2007-11-01,6957.43181818182,93.1168831168831,92.7313636363636
2007-12-01,6630.73611111111,98.9097744360902,91.5195238095238
2008-01-01,7078.90909090909,98.4862012987013,92.0917391304348
2008-02-01,7941.14285714286,141.887755102041,94.722380952381
2008-03-01,8434.31578947368,137.763157894737,103.161904761905
2008-04-01,8714.18181818182,131.737012987013,110.033181818182
2008-05-01,8356.125,143.075892857143,123.862272727273
2008-06-01,8292,166.989795918367,132.760476190476
2008-07-01,8407.02173913043,195.186335403727,133.585217391304
2008-08-01,7633.8,173.303571428571,113.800476190476
2008-09-01,6975.11363636364,164.498376623377,98.7554545454546
2008-10-01,4894.89130434783,119.366459627329,71.9634782608696
2008-11-01,3729.1875,101.382321428571,52.7135
2008-12-01,3105.09523809524,82.6086734693877,40.5117391304348
2009-01-01,3260.35714285714,85.5617346938775,43.1745454545455
2009-02-01,3328.4125,80.8226785714285,42.9105
2009-03-01,3770.875,65.4521103896103,46.5827272727273
2009-04-01,4436.925,66.2705357142857,50.5190909090909
2009-05-01,4591.46052631579,67.0150375939849,57.5014285714286
2009-06-01,5015.43181818182,75.8133116883116,68.58
2009-07-01,5228.41304347826,77.6203416149068,64.9043478260869
2009-08-01,6176.875,77.8821428571428,72.5919047619048
2009-09-01,6195.75,73.1493506493506,67.5131818181818
2009-10-01,6305.98863636364,75.7037337662337,72.9686363636364
2009-11-01,6682.44047619048,82.2653061224489,76.9366666666667
2009-12-01,6976.97619047619,86.3596938775509,74.7895652173913
2010-01-01,7367.375,100.14375,76.6023809523809
2010-02-01,6867.675,98.1589285714284,73.903
2010-03-01,7466.9347826087,100.099378881987,79.5191304347826
2010-04-01,7729.8375,104.9625,85.1563636363636
2010-05-01,6843.15789473684,107.93515037594,76.1323809523809
2010-06-01,6501.5,104.483766233766,75.2463636363636
2010-07-01,6750.56818181818,102.861525974026,75.195
2010-08-01,7302.66666666667,96.8469387755101,76.8918181818182
2010-09-01,7729.59090909091,100.117207792208,77.9381818181818
2010-10-01,8289.7619047619,103.207142857143,83.3385714285714
